JH_Event_No,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst,Perception,Mecalli
2.00E+13,6.846,-73.058,182.1,4,mb,,,,0.9,,11.1,,18,Not felt,I
2.00E+13,7.227,-76.947,27.7,5.3,mwc,,,,0.9,,,,,Not felt,II
2.00E+13,7.063,-74.579,59.2,4.9,mb,,,,0.9,,,,63,Not felt,I
2.00E+13,7.075,-72.92,100,3.6,mb,,,,1.2,,,,4,Not felt,I
2.00E+13,8.984,-77.389,33,4.5,mb,,,,1,,,,13,Not felt,I
2.00E+13,7.171,-75.258,76,4.4,mb,,,,1.1,,12,,9,Not felt,I
2.00E+13,7.326,-75.56,33,4,mb,,,,0.96,,,,4,Not felt,I
2.00E+13,4.255,-76.577,109.4,5.3,mwc,,,,0.89,,,,,Not felt,I
2.00E+13,6.979,-77.993,10,4.6,mb,,,,1.2,,,,7,Felt by a few,III
2.00E+13,8.215,-77.622,33,4.7,mb,,,,0.84,,,,43,Not felt,I
2.00E+13,6.746,-72.929,169.9,3.9,mb,,,,0.8,,13.2,,3,Not felt,I
2.00E+13,7.132,-72.655,125.6,3.9,mb,,,,1.06,,11.1,,1,Not felt,I
2.00E+13,7.322,-77.463,10,4.4,mb,,,,1.25,,,,3,Felt by a few,III
2.00E+13,7.083,-73.238,150,4.1,mb,,,,0.96,,,,2,Not felt,I
2.00E+13,6.96,-76.781,33,4.4,mb,,,,0.99,,,,5,Not felt,I
2.00E+13,7.575,-72.958,150,3.9,mb,,,,0.88,,,,1,Not felt,I
2.00E+13,7.746,-76.138,33,3.7,mb,,,,0.7,,,,1,Not felt,I
2.00E+13,6.757,-72.962,159.5,4.7,mb,,,,0.82,,,,55,Not felt,I
2.00E+13,7.579,-72.674,150,4.1,mb,,,,0.8,,,,1,Not felt,I
2.00E+13,8.277,-76.99,33,3.6,mb,,,,1.18,,,,2,Not felt,I
2.00E+13,6.73,-72.995,164.4,4.9,mb,,,,0.87,,,,75,Not felt,I
2.00E+13,6.76,-72.96,170.5,4.7,mb,,,,0.77,,5.8,,18,Not felt,I
2.00E+13,7.044,-73.189,150,3.3,mb,,,,0.77,,,,1,Not felt,I
2.00E+13,3.774,-74.027,42.4,4.9,mb,,,,1.03,,5.4,,27,Not felt,I
2.00E+13,6.976,-72.77,150,4.1,mb,,,,0.61,,,,2,Not felt,I
2.00E+13,6.663,-72.666,173,4,mb,,,,1.32,,34.2,,3,Not felt,I
2.00E+13,7.871,-77.505,33,4,mb,,,,0.88,,,,1,Not felt,I
2.00E+13,9.243,-78.473,67,3.2,md,,,,,,,,,Not felt,I
2.00E+13,6.662,-78.112,11.4,4,md,,,,,,,,,Not felt,II
2.00E+13,7.469,-74.73,33,3.7,mb,,,,0.22,,,,1,Not felt,I
2.00E+13,6.28,-73.856,33,3.8,mb,,,,1.14,,,,2,Not felt,I
2.00E+13,6.773,-73.02,171.1,3.4,mb,,,,1.41,,20.8,,1,Not felt,I
2.00E+13,7.605,-78.845,23.5,3.4,md,,,,,,,,,Not felt,I
2.00E+13,6.154,-73.94,33,5.1,mb,,,,0.95,,,,51,Not felt,I
2.00E+13,7.475,-72.045,33,4.2,mb,,,,0.9,,,,2,Not felt,I
2.00E+13,6.994,-73.141,152.1,4.3,mb,,,,1.33,,8.5,,1,Not felt,I
2.00E+13,7.175,-73.141,136.5,3.7,mb,,,,1.58,,18.7,,1,Not felt,I
2.00E+13,6.467,-73.628,33,4.3,mb,,,,0.95,,,,5,Not felt,I
2.00E+13,6.714,-72.932,175,4.5,mb,,,,0.94,,,,43,Not felt,I
2.00E+13,6.806,-72.948,161.8,4.4,mb,,,,0.81,,8.8,,9,Not felt,I
2.00E+13,7.025,-73.53,150,4.1,mb,,,,1.45,,,,2,Not felt,I
2.00E+13,7.16,-78.439,18.7,3.9,md,,,,,,,,,Not felt,II
2.00E+13,7.128,-78.541,24.1,3.7,md,,,,,,,,,Not felt,I
2.00E+13,2.722,-76.81,142.4,4.5,mb,,,,0.76,,,,37,Not felt,I
2.00E+13,10.37,-76.562,9.9,3.9,md,,,,,,,,,Felt by a few,III
2.00E+13,8.175,-77.644,1.9,4.3,md,,,,,,,,,Total Destruction,XII
2.00E+13,7.061,-78.243,10,4.1,md,,,,,,,,,Felt by a few,III
2.00E+13,6.756,-77.452,10,4.2,mb,,,,1.23,,,,6,Felt by a few,III
2.00E+13,8.616,-74.455,33,4.1,mb,,,,1.01,,,,2,Not felt,I
2.00E+13,6.804,-73.028,164.3,4,mb,,,,0.92,,,,6,Not felt,I
2.00E+13,6.742,-73.068,168.8,4.6,mb,,,,1.08,,,,8,Not felt,I
2.00E+13,6.982,-78.578,24.2,3.4,md,,,,,,,,,Not felt,I
2.00E+13,6.803,-72.984,170.2,4.5,mb,,,,1.06,,,,20,Not felt,I
2.00E+13,7.274,-72.463,154.8,4,mb,,,,0.96,,21.7,,4,Not felt,I
2.00E+13,4.443,-75.699,8,2.1,ml,,,,,,,,,Not felt,II
2.00E+13,4.425,-75.706,2,2.9,ml,,,,,,,,,Severe damage,VIII
2.00E+13,4.477,-75.692,10,3.4,ml,,,,,,,,,Severe damage,II
2.00E+13,4.155,-73.837,10,3.7,ml,,,,0.65,,,,,Severe damage,II
2.00E+13,6.753,-73.055,160.5,4.4,mb,,,,0.87,,,,18,Not felt,I
2.00E+13,4.51,-75.681,3,2,ml,,,,,,,,,Not felt,IV
2.00E+13,4.457,-75.729,4,2.6,ml,,,,,,,,,Not felt,IV
2.00E+13,4.517,-75.69,6,2.6,ml,,,,,,,,,Felt by a few,III
2.00E+13,7.071,-72.828,200,3.9,mb,,,,1.1,,,,6,Not felt,I
2.00E+13,4.442,-75.666,8,4.4,ml,,,,,,,,,Felt by a few,III
2.00E+13,4.502,-75.658,4,2.8,ml,,,,,,,,,Felt by a few,IV
2.00E+13,4.611,-75.678,10,2.6,ml,,,,0.49,,,,,Felt by a few,II
2.00E+13,6.803,-72.961,165.7,3.9,mb,,,,0.85,,16.8,,4,Not felt,I
2.00E+13,6.848,-73.052,161.6,4.3,mb,,,,1.15,,,,13,Not felt,I
2.00E+13,4.775,-76.415,123.2,4.1,mb,,,,1.03,,17.4,,8,Not felt,I
2.00E+13,6.945,-72.984,150,3.8,mb,,,,0.86,,,,5,Not felt,I
2.00E+13,4.521,-75.665,4,2.4,ml,,,,,,,,,Not felt,IV
2.00E+13,6.344,-73.433,33,3.6,ml,,,,0.52,,,,,Not felt,I
2.00E+13,4.826,-74.618,13,3.4,ml,,,,,,,,,Not felt,II
2.00E+13,6.742,-72.997,169.1,4.4,mb,,,,0.93,,4.2,,18,Not felt,I
2.00E+13,2.036,-75.794,12,4.3,ml,,,,,,,,,Not felt,II
2.00E+13,6.686,-72.966,180.3,4,mb,,,,1.05,,7.1,,8,Not felt,I
2.00E+13,6.56,-72.839,200,4.1,mb,,,,1.25,,,,3,Not felt,I
2.00E+13,6.805,-72.972,162.7,4.5,mb,,,,0.94,,5.4,,7,Not felt,I
2.00E+13,4.94,-73.49,30,4.4,ml,,,,,,,,,Not felt,I
2.00E+13,6.74,-73.18,160,4.6,mb,,,,,,,,10,Not felt,I
2.00E+13,3.56,-75.805,200,4.2,mb,,,,0.84,,5.1,,20,Not felt,I
2.00E+13,6.806,-72.909,160.9,4,mb,,,,0.92,,,,11,Not felt,I
2.00E+13,2.808,-72.993,33,4.1,ml,,,,0.58,,,,,Not felt,I
2.00E+13,6.776,-73.022,167.1,4.4,mb,,,,0.86,,4.3,,15,Not felt,I
2.00E+13,6.552,-73.024,197.5,4.1,mb,,,,0.9,,6.9,,11,Not felt,I
2.00E+13,3.882,-74.819,33,3.1,ml,,,,0.94,,,,,Not felt,I
2.00E+13,8.769,-78.291,37.5,3.6,md,,,,,,,,,Not felt,I
2.00E+13,6.539,-72.225,121.5,3.8,mb,,,,1.21,,12.3,,4,Not felt,I
2.00E+13,4.856,-77.213,33,4.2,mb,,,,0.63,,,,3,Not felt,I
2.00E+13,6.827,-72.981,171.3,3.6,mb,,,,0.62,,15.6,,1,Not felt,I
2.00E+13,5.484,-77.631,33,4.5,mb,,,,0.91,,,,13,Not felt,I
2.00E+13,6.77,-73.01,169.9,4.6,mb,,,,0.68,,,,48,Not felt,I
2.00E+13,6.776,-73.024,157,4.1,mb,,,,0.89,,,,19,Not felt,I
2.00E+13,5.263,-72.893,33,4.4,mb,,,,0.67,,,,6,Not felt,I
2.00E+13,6.77,-73.155,177.5,3.5,mb,,,,0.85,,21.3,,1,Not felt,I
2.00E+13,9.253,-72.582,33,4.3,mb,,,,0.51,,,,5,Not felt,I
2.00E+13,1.464,-77.414,142.7,5.2,mb,170,,,0.78,,,,61,Not felt,I
2.00E+13,6.17,-77.786,33,5.3,mwc,235,,,0.84,,,,,Not felt,I
2.00E+13,5.592,-73.605,158.1,4.4,mb,52,,,0.87,,7.3,,17,Not felt,I
2.00E+13,6.909,-72.988,155.4,3.8,mb,16,,,0.51,,59.7,,6,Not felt,I
2.00E+13,6.807,-73.054,174.2,4,mb,11,,,0.74,,19,,1,Not felt,I
2.00E+13,2.611,-76.072,10,3.9,ml,7,,,1.28,,,,,Felt by a few,III
2.00E+13,6.744,-72.992,164.3,4.9,mb,174,,,0.91,,,,60,Not felt,I
2.00E+13,7.027,-75.137,33,4.2,ml,7,,,0.73,,,,,Not felt,I
2.00E+13,6.79,-73.03,150,4.4,mb,34,,,,,,,10,Not felt,I
2.00E+13,5.938,-78.05,33,4.4,ml,6,,,0.55,,,,,Not felt,I
2.00E+13,6.796,-73.013,167.2,4.4,mb,21,,,0.78,,12.6,,1,Not felt,I
2.00E+13,7.042,-77.829,17,6.5,mwc,462,,,1.01,,,,,Felt by a few,III
2.00E+13,6.091,-74.066,10,4,ml,6,,,0.63,,,,,Felt by a few,III
2.00E+13,6.801,-73.036,162.7,4.8,mb,99,,,0.72,,3.7,,28,Not felt,I
2.00E+13,6.245,-72.023,33,3.9,mb,6,,,0.81,,,,1,Not felt,I
2.00E+13,5.378,-76.091,10,3.7,ml,11,,,0.89,,,,,Not felt,II
2.00E+13,6.336,-73.922,33,4,ml,7,,,1.04,,,,,Not felt,I
2.00E+13,7.255,-73.056,135.3,4.1,mb,13,,,0.72,,18.2,,3,Not felt,I
2.00E+13,6.83,-72.99,157.7,3.4,mb,14,,,,,,,1,Not felt,I
2.00E+13,3.924,-75.802,199.4,3.2,mb,14,,,1.11,,6.3,,1,Not felt,I
2.00E+13,3.458,-78.784,33,4.4,mb,21,,,0.9,,,,10,Not felt,I
2.00E+13,6.759,-73.012,163.1,4.8,mb,121,,,0.79,,3.5,,44,Not felt,I
2.00E+13,6.656,-72.006,10,3.4,ml,6,,,0.43,,,,,Not felt,II
2.00E+13,6.795,-73.008,161.2,4.4,mb,54,,,0.85,,9,,28,Not felt,I
2.00E+13,11.431,-70.324,33,5.3,mwc,202,,,0.9,,,,,Not felt,I
2.00E+13,6.82,-75.876,78.8,4.5,mb,67,,,1.02,,14.3,,40,Not felt,I
2.00E+13,6.885,-72.897,167.5,3.5,mb,15,,,0.59,,14.9,,1,Not felt,I
2.00E+13,6.815,-77.84,33,4.2,mb,21,,,0.67,,,,10,Not felt,I
2.00E+13,6.81,-73.027,171.2,4.2,mb,24,,,0.79,,,,7,Not felt,I
2.00E+13,8.33,-74.928,33,5.1,mwc,157,,,0.88,,,,,Not felt,I
2.00E+13,3.873,-75.968,178.6,5.9,mwc,471,,,0.84,,,,,Not felt,I
2.00E+13,0.372,-78.365,100,4,mb,8,,,0.91,,,,1,Not felt,I
2.00E+13,7.217,-72.643,33,4.3,mb,24,,,0.66,,,,9,Not felt,I
2.00E+13,6.402,-73.097,150,4.5,mb,10,,,0.8,,,,2,Not felt,I
2.00E+13,8.489,-74.735,33,4.2,mb,20,,,1.14,,,,2,Not felt,I
2.00E+13,6.779,-72.981,157.4,4,mb,37,,,0.79,,,,17,Not felt,I
2.00E+13,9.025,-78.955,33,5.3,mwc,120,,,0.86,,,,,Not felt,I
2.00E+13,6.772,-72.988,137,4.5,mb,74,,,0.74,,10.4,,24,Not felt,I
2.00E+13,7.259,-78.67,33,4.2,mb,13,,,1.14,,,,1,Not felt,I
2.00E+13,9.891,-78.104,52.7,4.2,mb,36,,,1.01,,,,9,Not felt,I
2.00E+13,6.826,-72.974,164.1,4.4,mb,44,,,0.64,,19.1,,16,Not felt,I
2.00E+13,6.778,-73.08,200,4.1,mb,16,,,0.7,,,,3,Not felt,I
2.00E+13,9.635,-78.955,35.2,4.3,mb,33,,,,,,,4,Not felt,I
2.00E+13,5.4,-77.765,33,4.4,mb,23,,,1.23,,,,7,Not felt,I
2.00E+13,4.894,-76.309,104.7,4.3,mb,54,,,0.92,,,,24,Not felt,I
2.00E+13,6.765,-72.991,160.7,4,mb,16,,,0.92,,,,5,Not felt,I
2.00E+13,4.666,-75.724,33,4.1,mb,11,193.3,,1.09,,,,4,Not felt,I
2.00E+13,7.088,-72.751,33,4.6,mb,47,101.5,,0.8,,,,20,Not felt,I
2.00E+13,6.811,-72.923,164.3,3.6,mb,13,138.5,,0.48,,10.5,,4,Not felt,I
2.00E+13,4.179,-75.665,207.6,0,,15,96.2,,1.09,,8.5,,,Not felt,I
2.00E+13,6.913,-72.648,150,0,,7,164.5,,0.62,,,,,Not felt,I
2.00E+13,7.226,-78.76,33,4.1,mb,25,83,,1.11,,,,11,Not felt,I
2.00E+13,3.132,-77.866,24.1,5,mwc,191,55.1,,1.01,,6.9,,,Not felt,II
2.00E+13,6.773,-73.043,171.8,4.2,mb,19,118.4,,0.83,,16.6,,5,Not felt,I
2.00E+13,6.913,-72.814,156.9,4.8,mb,12,94.9,,1.01,,22.8,,3,Not felt,I
2.00E+13,6.764,-73.019,168.2,4.2,mb,37,138,,0.71,,8.9,,19,Not felt,I
2.00E+13,7.082,-73.583,150.7,0,,9,169.6,,1.48,,17,,,Not felt,I
2.00E+13,6.771,-72.959,154.8,4.5,mb,68,124.5,,0.7,,7.2,,24,Not felt,I
2.00E+13,5.716,-77.808,46.1,0,,8,121.9,,0.68,,18.9,,,Not felt,I
2.00E+13,10.825,-72.484,42.6,4.6,mb,33,83.5,,1.03,,10.8,,12,Not felt,I
2.00E+13,6.776,-72.917,166.1,3.8,mb,15,151.2,,1.02,,,,3,Not felt,I
2.00E+13,4.601,-74.729,53.2,0,,13,160.3,,0.65,,10,,,Not felt,I
2.00E+13,6.053,-76.267,57.9,4.1,mb,13,72.9,,1.3,,,,2,Not felt,I
2.00E+13,6.882,-73.13,160.2,0,,7,142.6,,0.88,,14.3,,,Not felt,I
2.00E+13,7.063,-73.348,165.8,3.5,mb,5,113,,0.86,,13.8,,3,Not felt,I
2.00E+13,7.06,-76.381,24.4,3.7,mb,12,90.9,,0.89,,23,,4,Not felt,I
2.00E+13,6.296,-72.467,198.4,3.4,mb,8,197.3,,1.37,,14.9,,1,Not felt,I
2.00E+13,6.644,-72.834,171.4,0,,9,102.5,,0.83,,8.5,,,Not felt,I
2.00E+13,8.603,-72.116,18.2,3.7,mb,9,85.9,,0.86,,33.4,,1,Not felt,II
2.00E+13,6.702,-72.942,171.2,3.7,mb,9,170.7,,0.28,,10.8,,1,Not felt,I
2.00E+13,6.718,-72.902,159.9,4.1,mb,22,65.6,,1.01,,7.5,,3,Not felt,I
2.00E+13,7.644,-74.98,76.3,0,,14,88.7,,1.03,,10.5,,,Not felt,I
2.00E+13,6.922,-73.15,168.8,4.1,mb,13,82.3,,1.09,,8.7,,1,Not felt,I
2.00E+13,9.652,-73.402,68,4.6,mb,51,38.9,,0.84,,8.5,,17,Not felt,I
2.00E+13,7.377,-77.06,88.1,3.9,mb,12,112.4,,1,,16.1,,2,Not felt,I
2.00E+13,6.76,-72.968,167.9,3.9,mb,9,100.4,,0.44,,8.6,,2,Not felt,I
2.00E+13,6.754,-72.94,155.5,4.9,mwc,204,46.3,,0.89,,,,,Not felt,I
2.00E+13,6.75,-73.039,161.2,4,mb,9,99.5,,0.56,,24.8,,1,Not felt,I
2.00E+13,6.799,-72.955,163.4,4.6,mb,104,69.8,,0.72,,6.2,,27,Not felt,I
2.00E+13,4.687,-77.661,15,4.9,mb,11,92.5,,1.5,,,,5,Not felt,II
2.00E+13,4.765,-77.442,50,4.2,mb,7,100.5,,1.42,,0,,1,Not felt,I
2.00E+13,4.7,-77.576,31.6,4.4,mb,62,66.6,,1.05,,18.3,,23,Not felt,I
2.00E+13,4.578,-77.626,50,3.6,mb,7,94.6,,1.24,,,,1,Not felt,I
2.00E+13,7.418,-77.232,30.7,4.6,mb,15,80.8,,1.36,,,,3,Not felt,I
2.00E+13,6.773,-72.935,155.9,4.4,mb,53,62.4,,0.79,,6.9,,24,Not felt,I
2.00E+13,6.125,-71.852,39.4,4.6,mb,40,64.5,,0.91,,9.9,,15,Not felt,I
2.00E+13,6.273,-73.98,112.7,4.1,mb,14,92.7,,0.87,,8.4,,4,Not felt,I
2.00E+13,9.38,-78.82,58.1,5.5,mwb,368,36.1,,0.87,,,,,Not felt,I
2.00E+13,6.705,-72.901,172.8,0,,8,122.5,,0.19,,8.3,,,Not felt,I
2.01E+13,6.786,-73.005,170.8,4.1,mb,15,83.9,,0.75,,19.4,,3,Not felt,I
2.01E+13,6.635,-72.98,162,4.3,mb,50,92,,0.83,,7.6,,26,Not felt,I
2.01E+13,5.135,-78.002,35,4.4,mb,11,132.4,,1.05,,,,2,Not felt,I
2.01E+13,4.21,-78.283,35.9,4.8,mb,104,75.4,,0.89,,7.6,,49,Not felt,I
2.01E+13,6.726,-72.938,167,0,,8,170.2,,0.44,,9.7,,,Not felt,I
2.01E+13,7.177,-77.167,32.5,4.4,mb,35,48.2,,1.08,,,,6,Not felt,I
2.01E+13,6.861,-73.102,163,3.5,mb,11,117.6,,1.37,,,,1,Not felt,I
2.01E+13,6.73,-72.921,170.2,3.8,mb,19,86.9,,0.65,,6.6,,3,Not felt,I
2.01E+13,9.769,-78.806,64.8,4,mb,14,75.6,,0.96,,12.2,,2,Not felt,I
2.01E+13,6.609,-72.701,182,3.7,mb,9,126.8,,1.36,,10.8,,1,Not felt,I
2.01E+13,6.224,-72.972,189.2,3.9,mb,18,72,,0.92,,,,7,Not felt,I
2.01E+13,6.769,-72.927,169.8,4.2,mb,20,62.4,,0.74,,6.3,,3,Not felt,I
2.01E+13,9.152,-70.084,2.9,3.6,mw,16,68.7,,,,,,,Some damage,VII
2.01E+13,1.67,-76.221,23.3,4.6,mb,24,81.6,,0.74,,,,8,Some damage,II
2.01E+13,8.392,-74.592,76.7,4.2,mb,22,72.8,,0.99,,14.1,,5,Not felt,I
2.01E+13,5.142,-76.104,114.9,4,mb,14,78.8,,1.38,,11.2,,1,Not felt,I
2.01E+13,7.526,-78.192,19.6,4.4,mb,25,63.2,,1.27,,29.8,,9,Not felt,II
2.01E+13,6.702,-72.937,166.4,0,,7,170.9,,0.8,,13.6,,,Not felt,I
2.01E+13,6.237,-72.203,59.7,3.6,mb,11,118.6,,0.84,,11,,3,Not felt,I
2.01E+13,6.775,-72.968,166.7,4.3,mb,9,167.8,,0.41,,11.6,,1,Not felt,I
2.01E+13,6.794,-72.955,159.4,3.8,mb,25,70.5,,0.72,,,,9,Not felt,I
2.01E+13,6.752,-72.965,168.7,0,,8,168.6,,0.38,,9.8,,,Not felt,I
2.01E+13,6.774,-72.91,165.2,4.5,mb,76,46.2,,0.91,,,,40,Not felt,I
2.01E+13,6.735,-73.031,169,3.9,mb,13,96.9,,0.94,,9.1,,1,Not felt,I
2.01E+13,6.77,-72.999,172.2,3.5,mb,7,99.8,,0.59,,9.1,,1,Not felt,I
2.01E+13,5.323,-78.019,48.3,4.6,mb,27,150.5,,1.09,,13.1,,9,Not felt,I
2.01E+13,6.791,-72.978,163.5,4.3,mb,37,46.8,,0.75,,5.6,,17,Not felt,I
2.01E+13,9.889,-71.915,5.8,5,mw,37,58.4,,,,,,,Felt by most,V
2.01E+13,6.77,-76.883,55.5,4,mb,11,116.9,,0.7,,28.7,,1,Not felt,I
2.01E+13,6.414,-73.617,127.9,3.4,mb,13,116.4,,0.89,,9.8,,1,Not felt,I
2.01E+13,3.712,-73.981,14.1,4.7,mb,25,114.5,,1.43,,,,4,Not felt,II
2.01E+13,6.864,-77.793,14,6.2,mwb,552,45.5,,0.87,,,,,Felt by a few,III
2.01E+13,6.847,-77.974,10,5.5,mb,55,145.2,,0.66,,,,43,Felt by a few,III
2.01E+13,7.357,-72.95,157.5,4,mb,13,93,,0.98,,9.7,,2,Not felt,I
2.01E+13,6.753,-73.004,170,4,md,11,104.7,,0.84,,8.5,,,Not felt,I
2.01E+13,6.797,-73.008,163.6,3.7,mb,11,99.4,,0.67,,8.6,,4,Not felt,I
2.01E+13,4.928,-76.035,140.8,3.9,mb,10,116,,0.98,,10.2,,2,Not felt,I
2.01E+13,4.024,-76.512,96.9,4.3,mb,64,67.4,,0.8,,6.6,,36,Not felt,I
2.01E+13,6.99,-77.928,37.4,3.6,mb,8,190.5,,1.24,,20,,1,Not felt,I
2.01E+13,6.76,-72.988,160.6,4.4,mb,35,80.7,,0.68,,5.8,,13,Not felt,I
2.01E+13,6.804,-73.071,166.8,4,mb,12,80.1,,0.98,,8.7,,4,Not felt,I
2.01E+13,10.432,-75.427,19.9,4,mb,11,123.3,,0.88,,30.8,,3,Not felt,II
2.01E+13,5.725,-77.576,52,3.9,mb,15,58.5,,1.18,,10.7,,3,Not felt,I
2.01E+13,6.752,-77.66,46.4,4.6,mb,27,58.9,,1.31,,10.5,,14,Not felt,I
2.01E+13,6.755,-73.012,174.6,3.8,mb,14,63.6,,0.72,,7.3,,1,Not felt,I
2.01E+13,4.683,-72.961,41.8,4.5,mb,63,74.5,,1.01,,9.2,,33,Not felt,I
2.01E+13,6.808,-73.046,163.3,4.3,m,10,92,,0.71,,8.2,,,Not felt,I
2.01E+13,6.801,-73.018,170.7,4.4,mb,17,73.4,,1.15,,8.8,,2,Not felt,I
2.01E+13,6.677,-72.96,170.9,3.6,mb,9,101.5,,0.65,,8.1,,3,Not felt,I
2.01E+13,6.818,-73.067,165,3.6,mb,7,168.2,,0.35,,8.9,,2,Not felt,I
2.01E+13,7.542,-78.116,10.3,4.8,mwc,76,67.7,,1,,21.9,,,Felt by a few,III
2.01E+13,7.656,-78.013,8.3,4.6,mb,48,60.4,,1.03,,20,,20,Felt by a few,III
2.01E+13,6.752,-72.983,165.7,3.6,mb,18,70.6,,0.63,,6.1,,2,Not felt,I
2.01E+13,1.245,-77.905,42.7,4.8,mb,90,66.4,,1.4,,10,,52,Not felt,I
2.01E+13,6.708,-72.942,175.1,0,,14,138.7,,0.69,,6.6,,,Not felt,I
2.01E+13,4.185,-76.239,76.2,3,mb,8,101.7,,0.55,,11.1,,1,Not felt,I
2.01E+13,6.97,-76.903,34,4.1,mb,23,52.4,,1.07,,18.7,,9,Not felt,I
2.01E+13,6.737,-72.954,171.7,0,,7,169.4,,0.13,,9.8,,,Not felt,I
2.01E+13,6.823,-73.112,159.8,3.6,mb,10,117.9,,1,,8.7,,2,Not felt,I
2.01E+13,6.804,-73.107,159.2,0,,13,84.7,,0.89,,7.4,,,Not felt,I
2.01E+13,4.93,-72.795,59.8,4.2,mb,9,76.7,,0.53,,10.5,,2,Not felt,I
2.01E+13,6.674,-72.916,174.5,4.3,mb,9,139.7,,0.63,,15.2,,2,Not felt,I
2.01E+13,6.73,-73.051,182.6,4.1,mb,25,74.1,,1.28,,9.2,,3,Not felt,I
2.01E+13,4.602,-72.607,436.5,5.3,mwc,393,33,,0.77,,,,,Not felt,I
2.01E+13,6.723,-72.965,165.1,3.9,mb,10,86.7,,0.88,,11.3,,1,Not felt,I
2.01E+13,6.895,-72.802,150.1,4.1,mb,14,74,,0.51,,18.5,,5,Not felt,I
2.01E+13,7.046,-73.329,140.5,4.1,mb,10,135.1,,0.54,,10.1,,2,Not felt,I
2.01E+13,8.091,-75.133,62.4,4.3,mb,18,71.5,,0.97,,10.1,,3,Not felt,I
2.01E+13,6.844,-73.039,163.1,3.9,mb,13,163.7,,1.38,,11.4,,3,Not felt,I
2.01E+13,7.11,-72.885,179.3,4.1,mb,29,99.6,,0.97,,,,8,Not felt,I
2.01E+13,4.593,-78.631,35,0,,20,76.9,,1.24,,11.5,,,Not felt,I
2.01E+13,6.793,-73.033,161.6,4.1,mb,30,66.9,,0.92,,,,12,Not felt,I
2.01E+13,7.207,-72.007,36.9,4.3,mw,145,43.4,,0.82,,3.6,,,Not felt,I
2.01E+13,6.755,-72.953,167.9,0,,5,168.9,,0.15,,12.4,,,Not felt,I
2.01E+13,9.545,-70.751,4.4,4.9,mw,132,25.4,,,,,,,Not felt,VI
2.01E+13,6.765,-76.926,48.8,4,mb,24,91.7,,0.97,,10,,9,Not felt,I
2.01E+13,8.062,-71.954,47.5,4.3,mb,11,92.9,,1.18,,14.4,,1,Not felt,I
2.01E+13,6.832,-71.862,48.8,4.1,mb,25,60.6,,1.1,,8.8,,5,Not felt,I
2.01E+13,6.692,-72.914,172.6,0,,7,151.2,,0.36,,16.4,,,Not felt,I
2.01E+13,6.72,-72.959,163,4.4,mb,46,68.8,,0.74,,,,19,Not felt,I
2.01E+13,6.725,-73.04,156.1,4.4,mb,19,82.5,,1.39,,,,5,Not felt,I
2.01E+13,7.119,-72.057,61.6,3.7,md,10,88.1,,0.68,,9,,,Not felt,I
2.01E+13,7.182,-72.087,55.5,3.8,md,10,89.7,,0.81,,10.7,,,Not felt,I
2.01E+13,5.6,-77.85,4,4.6,mb,76,63.2,,,,,,31,Some damage,VII
2.01E+13,3.84,-75.64,3,4.4,mb,64,38.1,,,,,,25,Severe damage,VIII
2.01E+13,7.182,-72.126,29.5,5.2,mwc,463,29,,0.78,,,,,Not felt,I
2.01E+13,6.915,-74.448,95,4.3,mb,32,71.6,,0.9,,,,5,Not felt,I
2.01E+13,6.716,-72.949,158.7,4.3,mb,42,70.7,,0.82,,4.1,,8,Not felt,I
2.01E+13,6.681,-72.931,173.8,4.3,mb,12,151.1,,0.62,,8.7,,2,Not felt,I
2.01E+13,6.744,-72.909,168.4,4.5,mb,95,68.7,,0.63,,4.2,,24,Not felt,I
2.01E+13,6.909,-73.123,161.6,3.6,mb,6,142.3,,0.16,,21.9,,1,Not felt,I
2.01E+13,2.798,-78.156,10,0,,7,132.7,,0.95,,,,,Not felt,I
2.01E+13,5.759,-77.437,24.3,5,mwc,269,59.1,,0.84,,,,,Not felt,II
2.01E+13,6.755,-72.895,169.4,4.2,mb,19,82.8,,0.74,,6.6,,3,Not felt,I
2.01E+13,6.381,-74.012,63.1,0,,13,72,,0.98,,11.7,,,Not felt,I
2.01E+13,6.826,-73.164,159.5,0,,10,160.1,,1.17,,9.9,,,Not felt,I
2.01E+13,6.772,-72.991,167,4.3,mb,15,77.6,,0.71,,7.2,,3,Not felt,I
2.01E+13,6.799,-73.059,167,0,,11,127.7,,1.09,,8.9,,,Not felt,I
2.01E+13,6.769,-72.976,167.8,0,,13,70.6,,0.75,,7.3,,,Not felt,I
2.01E+13,6.708,-72.986,164.3,3.9,mb,7,149.3,,0.57,,18.6,,1,Not felt,I
2.01E+13,7.086,-73.135,137.8,4.1,mb,9,139,,1.37,,16,,1,Not felt,I
2.01E+13,5.058,-77.836,4.6,4.1,mb,19,71.9,,1.28,,26.2,,2,Felt by most,V
2.01E+13,6.728,-73.013,163.9,4.4,mb,15,129.7,,1.31,,10.5,,1,Not felt,I
2.01E+13,9.724,-72.649,168.5,4.7,mw,182,26.2,,,,,,,Not felt,I
2.01E+13,6.627,-73.068,157.4,3.9,mb,11,74,,0.85,,15.6,,1,Not felt,I
2.01E+13,6.781,-73.013,165.2,3.5,mb,8,152.8,,0.48,,11.4,,1,Not felt,I
